Source,Target,Weight
the system,bug,11
the system,mismatch,1
the system,suspense account,1
the system,Jo,1
the system,Horizon Online,1
the system,PFI,1
the system,Legacy Horizon,1
the system,defect,3
the system,error,3
the system,SAP,1
the system,Richard Benton,1
error,bug,28
error,shortfall,5
error,suspense account,2
error,defect,26
error,Second Sight,1
error,Horizon Online,7
error,Legacy Horizon,5
error,mismatch,1
error,SSC,2
error,PEAK,1
error,PinICL,1
error,Fujitsu,2
error,discrepancy,1
error,Castleton,1
error,AP,1
error,Pinder,1
bug,shortfall,4
bug,defect,27
bug,Mark,1
bug,Rod/Leslie,1
bug,Lesley Sewell,2
bug,Horizon Online,11
bug,Mrs Misra's,1
bug,Legacy Horizon,7
bug,Ms Meadows,1
bug,Ms Sewell,2
bug,Seema Misra,1
bug,Davis,1
bug,Fujitsu,6
bug,Second Sight,6
bug,Falkirk,2
bug,mismatch,6
bug,suspense account,4
bug,NBSC,1
bug,Vennells,2
bug,Cameron Freeman,1
bug,Dale Mellington,1
bug,SSC,3
bug,PEAK,1
bug,PinICL,1
shortfall,suspense account,2
shortfall,Fujitsu,1
shortfall,Ian Henderson,1
shortfall,ATM,2
shortfall,Ian,1
shortfall,Lloyds Bank,1
shortfall,Joe,2
shortfall,defect,2
suspense account,Susan Harding,1
suspense account,Falkirk,2
suspense account,mismatch,3
suspense account,Horizon Online,1
suspense account,Legacy Horizon,1
suspense account,defect,1
suspense account,TC,1
suspense account,Ms Harding,1
suspense account,Bentley Johnson,1
suspense account,Jeninson,1
Post Office Network,the Federation of Subpostmasters,1
discrepancy,Project Impact,1
Alan Layton,Betty Williams,2
Alan Layton,Royal Mail Group PLC,1
Alan Layton,the Royal Mail Group,1
Dave Smith,Horizon Integrity,1
Alan Bates,Smith,1
Alan Bates,Second Sight,1
Alan Bates,Alan Bates',1
Alan Bates,James Arbuthnot,2
Richard Barker,the Commercial Network,1
Alan,Mike Wakely,1
Alan,Sandy Stephen,1
Alan,Kay Linnell,1
Mike Wakely,Sandy Stephen,1
the Royal Mail Group,Paula Venles,1
mediation scheme,Second Sight,3
mediation scheme,MPs,1
mediation scheme,CCRC,1
mediation scheme,Fujitsu,1
mediation scheme,Wynne,1
mediation scheme,the Court of Appeal,1
mediation scheme,Chair,1
mediation scheme,Ms Perkins,1
mediation scheme,Howe Co,1
mediation scheme,Ian Henderson,1
